name,type,location,feelings,ailments,url,image,flavor,thc,cbd
UK Cheese,Hybrid,Unknown,"Happy, Inspired, Motivated","Back Pain, Neck Pain",https://www.marijuana.com/strains/uk-cheese/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/uk-cheese-351x185.jpg,"Mango, Sweet",94,98
Unknown,Hybrid,Unknown,Alert,ADD,https://www.marijuana.com/strains/unknown/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/sour-og-351x185.jpg,"Mango, Sweet",35,66
Vanilla Kush,Hybrid,Unknown,"Energetic, Hungry, Motivated","Crohn's Disease, Glaucoma, Nausea",https://www.marijuana.com/strains/vanilla-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/vanilla-kush-351x185.jpeg,"Pine, Earthy",70,62
Violator Kush,Indica,Unknown,"Euphoric, Hungry, Relaxed","ADD, Back Pain, Glaucoma",https://www.marijuana.com/strains/violator-kush/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/violator-kush-351x185.jpeg,Earthy,39,8
Vortex,Sativa,Unknown,"Alert, Creative, Energetic","Anxiety, Depression, Migraines",https://www.marijuana.com/strains/vortex/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/1346267065970open_uri20111110_31937_1g75voa_jpg_leader-351x185.jpg,"Earthy, Citrus, Pine",27,48
White Berry,Hybrid,Unknown,"Anxious, Inspired, Motivated","ADD, Psychosis, RLS",https://www.marijuana.com/strains/white-berry/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/white-berry-351x185.jpg,"Berry, Earthy, Sweet",90,20
White Fire OG,Sativa,California,"Alert, Attentive, Creative, Energetic, Inspired, Motivated","ADD, Asthma, Back Pain, Depression, Epilepsy, Muscle Spasms, Nausea",https://www.marijuana.com/strains/white-fire-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/whitefire2-351x185.jpg,"Earthy, Sweet",51,29
White Lightning,Hybrid,Unknown,"Alert, Hungry, Sociable","Epilepsy, Insomnia, Seizures",https://www.marijuana.com/strains/white-lightning/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/whitelightning-351x185.jpg,"Earthy, Pine",26,67
White Queen,Hybrid,Unknown,"Euphoric, Happy, Relaxed","Anxiety, Arthritis, Back Pain, Headaches, Migraines, Muscle Spasms, Neck Pain",https://www.marijuana.com/strains/white-queen/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266569295open_uri20110725_4713_161515o_jpg_leader-351x185.jpg,Earthy,64,98
White Rhino,Indica,Unknown,"Lazy, Relaxed, Sleepy, Solitary","Appetite, Back Pain, Headaches, Migraines, Nausea, Neck Pain",https://www.marijuana.com/strains/white-rhino/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346119887912white_rhino_jpeg_leader-351x185.jpeg,Pine,64,74
White Russian,Hybrid,Unknown,"Alert, Euphoric","ADD, ADHD, Anxiety, Depression, Migraines",https://www.marijuana.com/strains/white-russian/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266382963479032_400513103321837_193898890649927_1192284_1393487090_o_jpg_leader-351x185.jpg,"Earthy, Sweet, Pine",93,81
White Siberian,Indica,Unknown,"Aroused, Creative, Motivated",Cachexia,https://www.marijuana.com/strains/white-siberian/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/whie-siberian.jpg,"Sweet, Lavender",31,81
White Widow,Indica,Unknown,"Attentive, Creative, Energetic, Relaxed",Appetite,https://www.marijuana.com/strains/white-widow/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346119360937White_Widow_IMG_9281_jpeg_leader-351x185.jpeg,"Earthy, Sweet",67,39
Willie Nelson,Hybrid,Unknown,"Euphoric, Giggly, Happy","Anxiety, Depression",https://www.marijuana.com/strains/willie-nelson/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/1346266109536fname_jpg_leader-351x185.jpg,"Citrus, Earthy, Sweet",82,89
Willy&#8217;s Wonder,Hybrid,Unknown,"Euphoric, Motivated, Sociable","ADD, PTSD, RLS",https://www.marijuana.com/strains/willys-wonder/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/willies-wonder2-351x185.jpg,"Earthy, Berry, Skunk",31,74
Wonder Woman,Hybrid,Amsterdam,"Lazy, Relaxed, Sleepy","Appetite, Depression, Epilepsy, Fibromyalgia, Glaucoma, Headaches, Muscle Spasms, Multiple Sclerosis, Nausea, Neck Pain",https://www.marijuana.com/strains/wonder-woman/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/Screen-Shot-2015-11-25-at-10.10.57-AM-e1470166125191-351x185.png,"Earthy, Grape, Sweet",9,37
XJ-13,Hybrid,Unknown,"Anxious, Giggly, Sleepy","Diabetic Neuropathy, IBS, Psychosis",https://www.marijuana.com/strains/xj-13/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/05/xj-13-351x185.jpg,Sweet,85,8
XXX OG,Hybrid,Unknown,"Euphoric, Relaxed, Solitary","ADHD, Multiple Sclerosis, PTSD",https://www.marijuana.com/strains/xxx-og/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/04/XXX-OG-351x185.jpg,Sweet,50,96
Yabba Dabba Goo,Hybrid,California,"Energetic, Euphoric, Relaxed","Crohn's Disease, Depression, Muscle Spasms, Multiple Sclerosis",https://www.marijuana.com/strains/yabba-dabba-goo/,https://3x5avq3qvxq63ruylvcz1y12-wpengine.netdna-ssl.com/wp-content/uploads/2014/06/thenug-VkxJDAAamZ-351x185.jpg,"Sweet, Earthy",26,8
